objname,ra,dec,z,z_unc,z_tech,z_qual,ziDist,ziDist_unc,ziDist_method,DistMpc,DistMpc_unc,DistMpc_method,ebv,m_FUV,m_FUV_unc,m_NUV,m_NUV_unc,Lum_FUV,Lum_FUV_unc,Lum_NUV,Lum_NUV_unc,m_J,m_J_unc,m_H,m_H_unc,m_Ks,m_Ks_unc,Lum_J,Lum_J_unc,Lum_H,Lum_H_unc,Lum_Ks,Lum_Ks_unc,m_W1,m_W1_unc,m_W2,m_W2_unc,m_W3,m_W3_unc,m_W4,m_W4_unc,Lum_W1,Lum_W1_unc,Lum_W2,Lum_W2_unc,Lum_W3,Lum_W3_unc,Lum_W4,Lum_W4_unc,SFR_W4,SFR_W4_unc,SFR_hybrid,SFR_hybrid_unc,SFR_flag,Mstar,Mstar_unc
SDSS J142641.59+335047.1,216.6733418,33.8463771,0.158648,2.11684e-05,SPEC,False,,,,762.7023,0.09117999,Redshift,0.01040258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISEA J142617.72+341344.1,216.5738728,34.2289179,0.129733,2.89654e-05,SPEC,False,,,,612.4288,0.1247645,Redshift,0.013873449,,,,,,,,,,,,,,,,,,,,,15.885,0.196,14.816,0.158,12.121,0.385,9.255,99.0,5.511623428727203e+42,9.950061514903189e+41,5.959088022492346e+42,8.672154696640033e+41,5.2293927652614523e+42,1.8543944498750256e+42,1.0120356999744648e+43,,1.9771471085721506,,,,,13759295863.930496,2483947642.9810643
WISEA J142619.02+340708.7,216.5794854,34.1190045,0.169522,6.71909e-06,SPEC,False,,,,820.4315,0.02894156,Redshift,0.0136760855,22.5373,0.173492,21.913,0.0920946,6.180175329891904e+42,9.875757024588388e+41,7.435785365399523e+42,6.307411049182738e+41,,,,,,,,,,,,,16.497,99.0,16.446,0.518,12.572,99.0,8.993,99.0,5.629083229685244e+42,,2.383105708539499e+42,1.1370072583790278e+42,6.194711144320437e+42,,2.3118900957537555e+43,,4.516586537679908,,4.248181342418314,,,9070241091.512884,
FLX J142629.73+340751.7,216.62388416667,34.13104777778,0.129,,SPEC,False,,,,608.68134,,Redshift,0.013389745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISEA J142624.71+334702.5,216.603145,33.784155,0.154,,PHOT,False,,,,738.2273,,Redshift,0.011257162,,,,,,,,,,,,,,,,,,,,,15.503,0.08,15.28,0.208,12.66,99.0,9.333,99.0,1.1379972645891325e+43,8.385352739861877e+41,5.645521322866015e+42,1.0815772585630158e+42,4.6245071468181723e+42,,1.3684717072668588e+43,,2.6734925252673722,,,,,33705040623.908806,2483561811.063677
SDSS J142601.92+335912.2,216.50821708333,33.98671,0.137,,PHOT,False,,,,649.748,,Redshift,0.012797735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESI J216.7321+33.7193,216.7321035,33.7193364,0.15801,1.66952e-05,SPEC,False,,,,759.33563,0.07191229,Redshift,0.009622055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISEA J142619.18+335438.6,216.5799372,33.9107272,0.170348,2.49209e-05,SPEC,False,,,,824.84344,0.10734337,Redshift,0.010108503,,,,,,,,,17.164,0.337,15.541,0.329,16.162,0.444,4.3249509664547644e+43,1.3424597662771804e+43,9.178894890980032e+43,2.7814830595872726e+43,2.5931152175392743e+43,1.060461615470597e+43,12.065,0.007,12.061,0.013,11.997,99.0,9.346,99.0,3.3698710895525044e+44,2.1727085944402656e+42,1.366480823746555e+44,1.6362025398236122e+42,1.0631734109038147e+43,,1.6880542639798474e+43,,3.2978397967827187,,,,,1066414901757.1216,6875660108.988182
SDSS J142646.58+334953.4,216.6940741,33.8314826,0.156362,6.12448e-06,SPEC,False,,,,750.6498,0.02638036,Redshift,0.010193376,22.748,0.186043,22.5118,0.13478,4.1529495545823585e+42,7.11639680960891e+41,3.483990075146129e+42,4.325063991523282e+41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISEA J142642.41+341147.4,216.676981,34.1965112,0.130257,6.92107e-05,SPEC,False,,,,615.10956,0.2981156,Redshift,0.013092634,,,,,,,,,,,,,,,,,,,,,15.37,0.071,15.462,0.314,12.513,99.0,8.677,99.0,8.933294485083673e+42,5.841981648949413e+41,3.3153597785271066e+42,9.588496701508738e+41,3.67645319385299e+42,,1.7385252562324877e+43,,3.3964416310871735,,,,,21730084448.98826,1421051939.943088
WISEA J142620.58+341312.0,216.5857614,34.2200033,0.12994,1.67799e-05,SPEC,False,,,,613.4877,0.07227713,Redshift,0.013778009,23.3254,99.0,22.2089,0.128762,1.6734588622282252e+42,,3.1685455252507314e+42,3.757836355282815e+41,15.042,0.159,14.533,0.249,13.767,0.179,1.6937236985496482e+44,2.480446446586459e+43,1.2870696883945395e+44,2.9518312630590373e+43,1.3037669220537384e+44,2.1495281311354e+43,13.661,0.023,13.456,0.04,11.282,0.199,8.866,99.0,4.289168907193065e+43,9.08638459781279e+41,2.092546821929201e+43,7.709484289848664e+41,1.1364498145473182e+43,2.0830201849159256e+42,1.4530989399503255e+43,,2.8388231439508838,,2.5723961370822783,,,135733193265.60332,2875438163.8648067
WISEA J142636.22+334305.2,216.6509258,33.7181156,0.169863,2.35224e-05,SPEC,False,,,,822.25244,0.10131952,Redshift,0.01022255,21.3439,0.0955042,20.9938,0.0602809,1.8164586969130226e+43,1.5978576473590025e+42,1.692458763670267e+43,9.396973835698255e+41,,,,,,,,,,,,,15.102,0.1,14.969,0.226,16.396,99.0,8.838,99.0,2.0421578423642537e+43,1.8809595078676404e+42,9.32560696764487e+42,1.941224363672306e+42,1.8376958588232168e+41,,2.678273707685067e+43,,5.232365930616828,,5.4078449915551055,,,58536739911.4783,5391612499.874099
WISEA J142626.67+341146.2,216.6111499,34.1961875,0.158152,8.36241e-06,SPEC,False,,,,760.0847,0.036019936,Redshift,0.013508854,22.9192,0.286048,21.8324,0.110338,3.726873267401351e+42,9.819144018864179e+41,6.864442006880899e+42,6.9762260210136e+41,,,,,,,,,,,,,14.984,0.052,15.267,0.232,11.163,0.183,9.127,99.0,1.9465427949335938e+43,9.323037705810835e+41,6.05860566888863e+42,1.2946454114753717e+42,1.9465100062458032e+43,3.2809370426387674e+42,1.7538987617840828e+43,,3.426475830523736,,3.180346251455456,,,61599455535.873215,2950328387.914821
WISEA J142616.36+334115.5,216.56821,33.6875776,0.167705,1.71873e-05,SPEC,False,,,,810.7396,0.07403194,Redshift,0.0103116045,23.0734,0.268681,22.4041,0.145242,3.593047940360693e+42,8.891809036431595e+41,4.4923199485353475e+42,6.009703301937173e+41,,,,,,,,,,,,,14.119,0.022,13.909,0.07,11.419,0.175,9.217,99.0,4.90963020443925e+43,9.948591486675675e+41,2.4067675806473105e+43,1.5517519835221445e+42,1.7491533146254966e+43,2.81939583797123e+42,1.83657321740425e+43,,3.587991438012992,,3.316579977504462,,,155368044444.28006,3148288445.15053
WISEA J142618.31+340851.1,216.57636791667,34.14748694444,0.132,,SPEC,False,,,,624.0382,,Redshift,0.013426164,,,,,,,,,,,,,,,,,,,,,17.246,99.0,16.494,99.0,12.462,99.0,8.752,99.0,1.633635917283187e+42,,1.3190670081489866e+42,,3.9660086432183104e+42,,1.6699453576363692e+43,,3.2624616260153085,,,,,2067893596.9952645,
SDSS J142653.72+335443.3,216.72399,33.91205388889,0.157,,SPEC,False,,,,754.0106,,Redshift,0.0104471855,22.6538,0.178489,22.4103,0.124518,4.5785716194680536e+42,7.527168488997139e+41,3.8678544722431877e+42,4.436008215477805e+41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSS J142645.99+340950.1,216.6916373,34.1639389,0.131457,4.28455e-06,SPEC,False,,,,621.2548,0.018455112,Redshift,0.01286472,22.2042,0.167972,21.8015,0.10835,4.7873713874302255e+42,7.40668981409156e+41,4.69315471193331e+42,4.683644814919795e+41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISEA J142626.92+340740.3,216.612275,34.12786194444,0.151,,SPEC,False,,,,722.49445,,Redshift,0.013427054,,,,,,,,,,,,,,,,,,,,,16.084,0.16,16.443,99.0,11.799,0.335,8.853,99.0,6.385608159034055e+42,9.41049360043086e+41,1.8531609417764857e+42,,9.790399785009408e+42,3.020893374267888e+42,2.0396182613994693e+43,,3.9846670905173274,,,,,12054304269.207283,1776447134.8361132
WISEA J142638.81+340243.9,216.661732,34.0454943,0.182338,6.42924e-06,SPEC,False,,,,889.3066,0.02769307,Redshift,0.011926448,21.0528,0.0751709,20.694,0.0418917,2.813298927951854e+43,1.9478512378845263e+42,2.646400153824192e+43,1.021112775714066e+42,,,,,,,,,,,,,15.521,0.097,15.509,99.0,11.571,99.0,8.744,99.0,1.6244904896910871e+43,1.4513732895775653e+42,6.635354236345279e+42,,1.8297926458147098e+43,,3.416380672206264e+43,,6.6743566141044495,,7.117534726332726,,,38130325369.68833,3406688812.0096745
SDSS J142645.09+341040.1,216.68797291667,34.17781583333,0.137,,PHOT,False,,,,649.748,,Redshift,0.012935297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSS J142609.91+335331.1,216.541495,33.89204694444,0.155,,SPEC,False,,,,743.4827,,Redshift,0.009730384,21.6869,0.109643,21.0596,0.0543707,1.0788999142975015e+43,1.0895626645627494e+42,1.2970598824257545e+43,6.495537430725986e+41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISEA J142651.01+335216.4,216.7124882,33.8713735,0.140094,1.35341e-05,SPEC,False,,,,665.72906,0.05829628,Redshift,0.010198407,21.8048,0.148213,21.0904,0.07596,7.787058897106572e+42,1.0630406921788392e+42,1.0147884227422549e+43,7.099873185138997e+41,,,,,,,,,,,,,14.951,0.053,15.052,0.196,11.753,0.278,8.811,99.0,1.5384099660137834e+43,7.509968642003229e+41,5.663183098343201e+42,1.0223669880427712e+42,8.670777179877313e+42,2.220204516028314e+42,1.799862482706973e+43,,3.5162721073983585,,3.438835558768826,,,46028944808.86855,2246968881.9995794
SDSS J142600.81+340139.8,216.5033236,34.0277391,0.129335,5.91983e-06,SPEC,False,,,,610.39374,0.025498858,Redshift,0.014364136,22.6197,0.194212,22.2136,0.12181,3.1869902013214016e+42,5.7009461376005336e+41,3.1383105952833693e+42,3.521023895474145e+41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSS J142603.23+341632.5,216.5134503,34.2757127,0.133036,5.80172e-06,SPEC,False,,,,629.3535,0.024990115,Redshift,0.013223194,23.4125,99.0,22.9922,0.225939,1.6187335411877958e+42,,1.613328793340618e+42,3.3574087697106516e+41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISEA J142705.94+335325.1,216.7747469,33.8903151,0.129678,5.59996e-05,SPEC,False,,,,612.1475,0.24121061,Redshift,0.010173281,23.3262,0.320416,23.0317,0.236445,1.621248025789204e+42,4.784689521271749e+41,1.4351019365588026e+42,3.125381660696536e+41,,,,,,,,,,,,,15.45,0.087,15.87,0.432,12.149,99.0,9.421,99.0,8.214612484840694e+42,6.582585131264449e+41,2.25411680825419e+42,8.969129427443547e+41,5.0906603280733e+42,,8.676733762043329e+42,,1.6951159993572538,,1.5635194123180889,,,25501292956.496483,2043485704.9341135
WISEA J142640.23+340034.8,216.6676324,34.0096044,0.169403,6.60082e-06,SPEC,False,,,,819.79614,0.028432129,Redshift,0.011325925,22.723,0.226508,21.8526,0.102393,5.1111808947078087e+42,1.0663380569755338e+42,7.697783288932109e+42,7.259823691786483e+41,,,,,,,,,,,,,15.97,0.161,15.951,99.0,11.881,99.0,9.108,99.0,9.128050126486154e+42,1.3536115286942169e+42,3.752659987951874e+42,,1.1686880253882893e+43,,2.076195557694385e+43,,4.056125731364388,,3.795683313534657,,,20638861935.35075,3060566174.3417015
