objname,ra,dec,z,z_unc,z_tech,z_qual,ziDist,ziDist_unc,ziDist_method,DistMpc,DistMpc_unc,DistMpc_method,ebv,m_FUV,m_FUV_unc,m_NUV,m_NUV_unc,Lum_FUV,Lum_FUV_unc,Lum_NUV,Lum_NUV_unc,m_J,m_J_unc,m_H,m_H_unc,m_Ks,m_Ks_unc,Lum_J,Lum_J_unc,Lum_H,Lum_H_unc,Lum_Ks,Lum_Ks_unc,m_W1,m_W1_unc,m_W2,m_W2_unc,m_W3,m_W3_unc,m_W4,m_W4_unc,Lum_W1,Lum_W1_unc,Lum_W2,Lum_W2_unc,Lum_W3,Lum_W3_unc,Lum_W4,Lum_W4_unc,SFR_W4,SFR_W4_unc,SFR_hybrid,SFR_hybrid_unc,SFR_flag,Mstar,Mstar_unc
2MASS J20562801+0048213,314.11671,0.80583298,0.15334,4e-05,SPEC,False,,,,734.76166,0.17229451,Redshift,0.0698969,,,,,,,,,16.774,0.254,15.895,0.325,15.208,0.38,5.139957172663627e+43,1.2024953641673641e+43,5.40559176135481e+43,1.6181424082232393e+43,5.049785747579114e+43,1.7674480356492078e+43,,,,,,,,,,,,,,,,,,,,,,,
WISEA J205321.92+013549.7,313.3413639,1.5971597,0.165259,,PHOT,False,,,,797.72144,,Redshift,0.08536282,,,,,,,,,14.68,0.134,14.168,0.189,13.736,0.199,4.216913322317105e+44,5.204627091409856e+43,3.1490777949380015e+44,5.481953192258751e+43,2.320756602468961e+44,4.2537586588823573e+43,13.049,0.021,13.029,0.037,11.574,99.0,8.963,99.0,1.2910632943286366e+44,2.4972206974676843e+42,5.290913541447377e+43,1.803111403956775e+42,1.4735092606589977e+43,,2.250985057595975e+43,,4.397600399054393,,,,,408564333648.3027,7902597143.8850765
WISEA J205106.29-003435.8,312.7762192,-0.5766126,0.19875123,1.2358333e-05,SPEC,False,,,,978.81354,0.05323183,Redshift,0.10049691,22.17,0.181903,21.3192,0.0531483,2.3405537462454876e+43,3.9214676310590986e+42,3.751941021804998e+43,1.8366887046621617e+42,,,,,,,,,,,,,11.927,0.009,12.096,0.031,10.69,0.312,7.911,99.0,5.4783048795238306e+44,4.541286149024976e+42,1.884806462659757e+44,5.3816892505938805e+42,5.011534025651009e+43,1.440175622010973e+43,8.933808893726912e+43,,17.453390649375315,,16.395137091536682,,,1733640784659.44,14371158699.446127
WISEA J205110.39+003322.2,312.7933024,0.5561678,0.16483775,2.6304722e-05,SPEC,False,,,,795.4827,0.11330399,Redshift,0.09203031,23.0331,0.288928,22.1785,0.0975589,6.558769228395505e+42,1.7454288640551156e+42,1.0470393728800706e+43,9.408494168329088e+41,,,,,,,,,,,,,14.077,0.042,14.759,0.45,11.719,0.515,8.661,0.509,4.986958726530967e+43,1.929191006399371e+42,1.0701861346288259e+43,4.4356978752651896e+42,1.2824880880913742e+43,6.08346117101899e+42,2.956686722349136e+43,1.386159575019135e+43,5.776282994951425,2.7080481408292556,5.373565616567739,2.3845833531459486,,157815149573.76477,6105034830.377756
SDSS J204923.41+002004.7,312.34756,0.33465037,0.18512645,9.7101065e-06,SPEC,False,,,,904.41064,0.04182495,Redshift,0.083031826,21.8449,99.0,21.97,0.292796,2.3700117274986815e+43,,1.522251483919574e+43,4.105269338841857e+42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISEA J205059.11-000214.9,312.7463209,-0.0374859,0.15322569,8.329434e-06,SPEC,False,,,,734.1617,0.0358779,Redshift,0.09465244,22.7116,0.344192,21.6916,0.0990105,7.65848656232998e+42,2.4279173754646453e+42,1.427152667981333e+43,1.3014929947678107e+42,,,,,,,,,,,,,14.3,0.033,14.447,0.167,10.493,0.237,8.088,99.0,3.4607130785817206e+43,1.0518884302318865e+42,1.2154213401589797e+43,1.8695346256988677e+42,3.379328597899569e+43,7.37681650069358e+42,4.2692904138496164e+43,,8.340629878580913,,7.679037657819738,,,101526798124.89948,3085920788.0312667
WISEA J204830.80-010827.1,312.1283483,-1.1408695,0.17346963,2.9343702e-05,SPEC,False,,,,841.55084,0.12639399,Redshift,0.06232644,,,,,,,,,16.05,0.122,15.052,0.095,14.896,0.235,1.3060735269710668e+44,1.4676333862812207e+43,1.5359553944617533e+44,1.3439786325267562e+43,8.808246866376988e+43,1.90654667878024e+43,14.225,0.085,13.984,0.104,11.174,0.277,8.558,99.0,4.843689131015433e+43,3.792148459281222e+42,2.4361995498396717e+43,2.3336534847356932e+42,2.3676906742150994e+43,6.040806512436934e+42,3.6356182075093992e+43,,7.102666464266865,,,,,153281301614.4124,12000469807.851967
WISEA J205127.51-011200.1,312.8646537,-1.2000377,0.1491053,2.5511796e-05,SPEC,False,,,,712.5843,0.10988857,Redshift,0.069736734,,,,,,,,,16.147,0.201,16.153,0.393,14.844,0.272,8.611665787744963e+43,1.5943123135457437e+43,4.008578336217129e+43,1.4510189415042068e+43,6.640952072523057e+43,1.6637553665421615e+43,14.396,0.086,14.002,0.198,10.376,0.14,8.432,99.0,2.97082107294549e+43,2.353233959364855e+42,1.719631621864318e+43,3.136106229945397e+42,3.5415441587350476e+43,4.566787984466959e+42,2.9279986446387856e+43,,5.7202369978616545,,,,,94013325093.2117,7446942909.382452
WISEA J205353.90+001822.1,313.4746105,0.3061405,0.20064317,8.151399e-06,SPEC,False,,,,989.22363,0.035111036,Redshift,0.07968357,21.4569,0.0948056,20.6643,0.0333777,3.9544276591737893e+43,3.453088747260339e+42,5.896407012199531e+43,1.812733551021266e+42,16.92,0.18,16.331,0.353,15.578,0.725,8.204192234362319e+43,1.3601866566905744e+43,6.587499610202855e+43,2.1418322783700692e+43,6.530217562344899e+43,4.3606964960211524e+43,13.888,0.041,13.824,0.093,10.548,0.17,8.178,99.0,9.157627827055233e+43,3.4582549566864075e+42,3.9093325180605444e+43,3.348695455275611e+42,5.82799898906343e+43,9.125538696520143e+42,7.131760308782675e+43,,13.932847698846071,,14.01006306506957,,,289798348957.4441,10943844799.64053
WISEA J205335.82+002407.6,313.3992549,0.4021362,0.16119401,5.3986946e-06,SPEC,False,,,,776.1599,0.023254137,Redshift,0.080159545,22.3529,0.176492,21.4994,0.0576892,1.0703409606111962e+43,1.7399522961850604e+42,1.688776113875216e+43,8.973394710116114e+41,,,,,,,,,,,,,12.044,0.011,12.082,0.023,11.473,0.37,8.823,99.0,3.0813031647280074e+44,3.1218875940417054e+42,1.1974089980760105e+44,2.5366496728398195e+42,1.530534390230153e+43,5.215968478690281e+42,2.423906056699872e+43,,4.7354247005076955,,4.640706300358775,,,975095938205.0656,9879391120.385143
