objname,ra,dec,z,z_unc,z_tech,z_qual,ziDist,ziDist_unc,ziDist_method,DistMpc,DistMpc_unc,DistMpc_method,ebv,m_FUV,m_FUV_unc,m_NUV,m_NUV_unc,Lum_FUV,Lum_FUV_unc,Lum_NUV,Lum_NUV_unc,m_J,m_J_unc,m_H,m_H_unc,m_Ks,m_Ks_unc,Lum_J,Lum_J_unc,Lum_H,Lum_H_unc,Lum_Ks,Lum_Ks_unc,m_W1,m_W1_unc,m_W2,m_W2_unc,m_W3,m_W3_unc,m_W4,m_W4_unc,Lum_W1,Lum_W1_unc,Lum_W2,Lum_W2_unc,Lum_W3,Lum_W3_unc,Lum_W4,Lum_W4_unc,SFR_W4,SFR_W4_unc,SFR_hybrid,SFR_hybrid_unc,SFR_flag,Mstar,Mstar_unc
WISEA J171540.90+282537.0,258.9204563,28.4269631,0.08201982,1.38280175e-05,SPEC,False,,,,375.09534,0.059562292,Redshift,0.047816597,,,,,,,,,14.776,0.111,14.302,0.154,13.597,0.149,8.298028823748176e+43,8.483753862359627e+42,6.047335326303483e+43,8.577780662936165e+42,5.762325695836567e+43,7.908138239562551e+42,13.352,0.012,13.391,0.041,10.732,0.121,8.133,99.0,2.144603910621216e+43,2.3703827961685958e+41,8.341272226891241e+42,3.149968944232921e+41,7.062211877639452e+42,7.870753111376257e+41,1.0679255426579157e+43,,2.0863353920120784,,,,,67867212361.430885,750121138.0280366
WISEA J171603.77+293653.0,259.0157492,29.614748,0.13810377,2.401484e-05,SPEC,False,,,,655.4429,0.103440635,Redshift,0.046362445,,,,,,,,,15.702,0.13,14.967,0.155,14.539,0.114,1.0786704762812766e+44,1.2915828777116172e+43,1.000128821018063e+44,1.42783421622711e+43,7.385535254951208e+43,7.754913279720638e+42,14.385,0.039,14.381,0.117,11.97,99.0,9.046,99.0,2.528236542266778e+43,9.081810451604247e+41,1.0231472613306e+43,1.102590316476093e+42,6.894398565737394e+42,,1.4064095242197012e+43,,2.747609125201292,,,,,80007485514.77145,2873990649.2418504
WISEA J171450.08+292915.3,258.7086809,29.4875914,0.106377564,9.731446e-06,SPEC,False,,,,494.56647,0.04191687,Redshift,0.046867054,21.2467,99.0,20.0895,0.127579,9.417041918098523e+42,,1.9072253069472282e+43,2.241152423770174e+42,15.764,0.081,15.012,0.143,14.747,0.146,5.802733610364195e+43,4.3292020041125464e+42,5.46433727061345e+43,7.19720239789122e+42,3.472415467350302e+43,4.6695464921027256e+42,13.739,0.021,13.739,0.077,10.211,0.1,7.949,99.0,2.6099809744559795e+43,5.048318896228345e+41,1.0523146531430091e+43,7.463224205564632e+41,1.98375019437284e+43,1.8271625937416366e+42,2.199362347569003e+43,,4.296748530025403,,4.197772885943147,,,82594334634.68289,1597569270.958337
WISEA J171400.93+284008.1,258.5039158,28.668921,0.10004297,1.2619605e-05,SPEC,False,,,,463.15347,0.05435722,Redshift,0.042270858,21.8953,0.125451,21.5891,0.065888,4.392929255078925e+42,5.075962744422975e+41,4.0461441411129966e+42,2.4554880668845295e+41,15.764,0.1,15.357,0.281,14.78,0.22,5.071538178603112e+43,4.67121491556722e+42,3.48022818777063e+43,9.007497776305674e+42,2.9498094264207367e+43,5.977323523668386e+42,12.734,0.011,12.799,0.025,11.491,0.295,8.449,99.0,5.771298043684585e+43,5.847312498749485e+41,2.1922568889414903e+43,5.048026260437847e+41,5.350447797815443e+42,1.4537919994732246e+42,1.2168764581157385e+43,,2.3773309288533575,,2.286440517629527,,,182636014040.65143,1850415347.7055333
WISEA J171651.63+301052.4,259.2151289,30.1812286,0.09155427,1.8439576e-05,SPEC,False,,,,421.43478,0.07942595,Redshift,0.038960133,23.1817,99.0,22.4138,0.169347,1.0854278663601215e+42,,1.5250062737440602e+42,2.3786978252538146e+41,15.22,0.144,14.727,0.259,14.016,0.199,6.913130337367735e+43,9.169113333894018e+42,5.139826644450325e+43,1.2261352754683382e+43,4.931117296997117e+43,9.038337063536281e+42,13.9,0.022,13.878,0.068,10.895,0.167,8.436,99.0,1.6316293808298504e+43,3.3062398210128325e+41,6.716131192130976e+42,4.206474000409718e+41,7.668862258982629e+42,1.17960752279012e+42,1.0195798237056886e+43,,1.9918855633739685,,1.8010210689762043,,,51633841165.501595,1046278424.3711495
WISEA J171720.31+293800.6,259.3346565,29.6335244,0.107017145,6.358229e-06,SPEC,False,,,,497.75137,0.027387202,Redshift,0.03778667,20.8083,0.0750592,20.0468,0.0263175,1.3358758644622532e+43,9.23549531282177e+41,1.8638760220475526e+43,4.518057674826734e+41,15.946,0.125,15.463,0.129,14.949,0.246,4.936934698059142e+43,5.684045732596083e+42,3.6381072627831336e+43,4.322701749734072e+42,2.9116990981325037e+43,6.597383557919775e+42,13.684,0.026,13.652,0.056,10.301,0.072,8.693,0.436,2.776468438635885e+43,6.648998010606213e+41,1.1535015775999576e+43,5.949717818543427e+41,1.848717797541454e+43,1.2260079440879939e+42,1.1224646284120602e+43,4.50764097543976e+42,2.1928847911149916,0.8806279582130295,2.520400364891444,0.7761090425742777,,87862925273.28749,2104113294.495637
WISEA J171604.99+294045.3,259.0207931,29.6792662,0.090074964,1.5396845e-05,SPEC,False,,,,414.20895,0.0663198,Redshift,0.045486625,21.5083,0.103265,20.8264,0.0386717,5.138571623048474e+42,4.887488404798053e+41,6.709180269492932e+42,2.389752034991782e+41,14.679,0.108,14.497,0.19,13.551,0.15,1.1045199788455144e+44,1.0987212381843283e+43,6.155283343649336e+43,1.0771887626621569e+43,7.325375949015347e+43,1.0120717532280665e+43,12.837,0.013,12.888,0.026,10.499,0.11,8.954,99.0,4.2006600026181653e+43,5.02980371297883e+41,1.61606463571813e+43,3.8701005114725705e+41,1.0672040692315457e+43,1.0812604049750442e+42,6.11323296467689e+42,,1.1943018295148915,,1.2782219152193577,,,132932278563.86598,1591710035.7527943
WISEA J171645.95+294958.3,259.1914585,29.8328783,0.10793971,2.0666153e-05,SPEC,False,,,,502.34973,0.089016624,Redshift,0.04645476,22.8395,0.228135,23.3113,0.225824,2.2337595988021265e+42,4.69373430544114e+41,1.0087030509851598e+42,2.098087613530477e+41,15.719,0.143,14.685,0.212,14.103,0.242,6.23823580667301e+43,8.216521971855427e+42,7.617577170173194e+43,1.4874517178836764e+43,6.482429661451531e+43,1.444918288953028e+43,14.134,0.034,14.546,0.158,12.421,99.0,8.964,99.0,1.8714076912005848e+43,5.86053781362269e+41,5.1628093720476184e+42,7.513345127540555e+41,2.6732623132438296e+42,,8.909535721014965e+42,,1.7405969759732285,,1.630619927066925,,,59221762379.765335,1854600573.931231
WISEA J171552.29+301657.7,258.9678997,30.2827181,0.13280667,1.0834779e-05,SPEC,False,,,,628.1764,0.046669323,Redshift,0.036106624,20.2565,0.0559994,19.7545,0.0268712,3.4933579437848615e+43,1.8018417407398256e+42,3.832093746362633e+43,9.484475137031995e+41,15.897,0.114,15.121,99.0,14.522,99.0,8.215796176908638e+43,8.626699525192448e+42,7.933651696340738e+43,,6.868340529109489e+43,,14.172,0.038,14.057,0.106,10.578,0.127,8.457,99.0,2.820314786246107e+43,9.871230846663519e+41,1.264920845665068e+43,1.234978386096707e+42,2.281252517143496e+43,2.6685002587359095e+42,2.22173517426002e+43,,4.340456839528563,,5.364071235072102,,,89250467919.18059,3123807229.9568095
WISEA J171558.34+284016.1,258.9930871,28.6711559,0.11189146,6.291258e-06,SPEC,False,,,,522.1035,0.027098734,Redshift,0.037376218,19.3682,0.137641,18.8672,0.0681887,5.520515034491364e+43,6.99870269855176e+42,6.057167822997547e+43,3.804276747768689e+42,15.437,0.21,14.489,0.189,13.834,0.192,8.677850804670915e+43,1.6785009839119864e+43,9.814781578539617e+43,1.7085691813303367e+43,8.944955269532274e+43,1.5818654821161834e+43,13.831,0.034,13.723,0.064,9.871,0.071,7.826,0.214,2.667767133762685e+43,8.354433889108252e+41,1.1887325529338899e+43,7.007357737060963e+41,3.022386743913726e+43,1.9765079210918393e+42,2.7444546514991376e+43,5.4095358744833784e+42,5.36165925664067,1.0568251903783625,7.1588280839397695,0.9801978275400812,,83591738670.76495,2617775912.9056106
