objname,ra,dec,z,z_unc,z_tech,z_qual,ziDist,ziDist_unc,ziDist_method,DistMpc,DistMpc_unc,DistMpc_method,ebv,m_FUV,m_FUV_unc,m_NUV,m_NUV_unc,Lum_FUV,Lum_FUV_unc,Lum_NUV,Lum_NUV_unc,m_J,m_J_unc,m_H,m_H_unc,m_Ks,m_Ks_unc,Lum_J,Lum_J_unc,Lum_H,Lum_H_unc,Lum_Ks,Lum_Ks_unc,m_W1,m_W1_unc,m_W2,m_W2_unc,m_W3,m_W3_unc,m_W4,m_W4_unc,Lum_W1,Lum_W1_unc,Lum_W2,Lum_W2_unc,Lum_W3,Lum_W3_unc,Lum_W4,Lum_W4_unc,SFR_W4,SFR_W4_unc,SFR_hybrid,SFR_hybrid_unc,SFR_flag,Mstar,Mstar_unc
2MASX J14272087+3227502,216.837134,32.464035,0.12919155,2.8977809e-05,SPEC,False,,,,609.66034,0.12481795,Redshift,0.007772835,,,22.0109,0.159568,,,3.5730375100514506e+42,5.251380345960285e+41,15.003,0.148,13.855,0.128,13.463,0.134,1.7260577384945024e+44,2.3529201353644035e+43,2.3667423324864783e+44,2.790301438558022e+43,1.7003186770446513e+44,2.0985787476578604e+43,,,,,,,,,,,,,,,,,,,,,,,
UGC 09302,217.2908404,31.7985173,0.011723,7e-06,SPEC,False,44.620704650878906,2.26274063913678,Wavg,44.620705,2.2627406,zIndependent,0.012276982,,,,,,,,,13.33,0.054,12.569,0.065,12.794,0.116,4.331277800447644e+42,2.1542692569453467e+41,4.152973676185034e+42,2.4863525059977567e+41,1.6890886403375262e+42,1.804681563363142e+41,12.260521,0.025930995,12.201724,0.026084652,9.03786,0.02157835,7.5521502,0.07454347,8.239602969977482e+41,1.967956983294355e+40,3.513692998077692e+41,8.441877387041236e+39,4.749366147109762e+41,9.439392298291182e+39,2.5779818063654284e+41,1.7700256495000635e+40,0.050364322864654115,0.0034579818627899135,,,,2607469294.2966714,62277119.7245049
SDSS J142620.61+344905.9,216.58581791667,34.81825888889,0.013,,SPEC,False,,,,56.557224,,Redshift,0.011544424,21.4697,0.119027,22.0106,0.137347,7.72867497264151e+40,8.47306745910857e+39,3.1733350939897453e+40,4.0144428418917766e+39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESI J216.6180+34.5848,216.6180062,34.5848357,0.0757913,2.16974e-05,SPEC,False,,,,345.12256,0.093458585,Redshift,0.011189202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISEA J142500.68+344745.9,216.2527754,34.7958776,0.166151,2.61528e-05,SPEC,False,,,,802.4651,0.11264961,Redshift,0.011954485,20.9525,99.0,21.4929,0.360512,2.5128983212415835e+43,,1.0326314746692838e+43,3.428903250849913e+42,,,,,,,,,,,,,15.449,0.114,15.646,0.34,12.228,99.0,8.973,99.0,1.4134108054684858e+43,1.4841007887726374e+42,4.762283743384541e+42,1.491366342360248e+42,8.134902970563489e+42,,2.2527649800886746e+43,,4.4010777157241625,,4.984060109453645,,,37484102773.1695,3935882354.716852
WISEA J142753.12+334758.1,216.9713366,33.799483,0.151181,1.10088e-05,SPEC,False,,,,723.4422,0.0474189,Redshift,0.008153454,21.497,0.0972016,21.1637,0.0620193,1.202695210751421e+43,1.0767605776133788e+42,1.1013300447326101e+43,6.291215291510326e+41,,,,,,,,,,,,,16.001,0.149,15.743,99.0,11.977,99.0,8.79,99.0,6.904345726062159e+42,9.475431129971024e+41,3.5380149344038147e+42,,8.329656577948365e+42,,2.1668532768399543e+43,,4.2332377119821984,,4.2572354702852095,,,13167077375.55832,1807031973.8501928
SDSS J142629.27+331839.8,216.62208208333,33.31114583333,0.151,,SPEC,False,,,,722.49445,,Redshift,0.00775705,,,22.0945,0.128484,,,4.645514662575355e+42,5.497598590011084e+41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISEA J143054.79+305405.8,217.7283036,30.9016273,0.114906475,2.2026632e-05,SPEC,False,,,,537.2367,0.0948767,Redshift,0.014157011,,,,,,,,,14.87,0.114,14.203,0.149,13.745,0.14,1.5222472002604186e+44,1.598380535005402e+43,1.3378208226769007e+44,1.8360071748134566e+43,1.020404909659483e+44,1.3158025584856927e+43,13.431,0.013,13.749,0.16,12.113,99.0,9.38,99.0,4.0655788735239816e+43,4.8680604366588906e+41,1.225225282718338e+43,1.8056187588715737e+42,4.053943082933454e+42,,6.940954219903682e+42,,1.3560082482229128,,,,,128657559288.7336,1540525454.6388893
WISEA J142526.05+360703.1,216.3585557,36.1175288,0.12921734,1.1236725e-05,SPEC,False,,,,609.79224,0.048400655,Redshift,0.009961989,20.7936,0.316298,20.0304,0.141276,1.655253245036796e+43,4.822264791304976e+42,2.255769975328042e+43,2.9353057556798223e+42,,,,,,,,,,,,,14.205,0.028,14.174,0.095,10.616,0.115,8.282,0.287,2.565795973636813e+43,6.617140042929901e+41,1.0666356471945723e+43,9.333184918851889e+41,2.0731064559325876e+43,2.1958850355895904e+42,2.458133733667788e+43,6.497967525926128e+42,4.802293045717222,1.2694648722179205,4.958087913299986,1.137397237409431,,81196075115.08902,2094031659.155032
SDSS J142739.85+325058.5,216.91609916667,32.84970777778,0.083,,PHOT,False,,,,379.8337,,Redshift,0.0070789196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISEA J142646.94+345059.6,216.69516416667,34.849835,0.041,,PHOT,False,,,,182.13162,,Redshift,0.01040199,,,,,,,,,,,,,,,,,,,,,16.672,0.392,15.404,99.0,12.28,99.0,8.79,99.0,2.359734871799747e+41,8.519996338653865e+40,3.0651181060551587e+41,,3.994273447842305e+41,,1.3734641872920309e+42,,0.268324600278464,,,,,298700621.1344983,107848056.52673043
SDWFS J142757.68+341416.4,216.9901498,34.2380276,0.0472638,5.9134e-05,SPEC,True,,,,210.91434,0.25471163,Redshift,0.013309632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
