objname,ra,dec,z,z_unc,z_tech,z_qual,ziDist,ziDist_unc,ziDist_method,DistMpc,DistMpc_unc,DistMpc_method,ebv,m_FUV,m_FUV_unc,m_NUV,m_NUV_unc,Lum_FUV,Lum_FUV_unc,Lum_NUV,Lum_NUV_unc,m_J,m_J_unc,m_H,m_H_unc,m_Ks,m_Ks_unc,Lum_J,Lum_J_unc,Lum_H,Lum_H_unc,Lum_Ks,Lum_Ks_unc,m_W1,m_W1_unc,m_W2,m_W2_unc,m_W3,m_W3_unc,m_W4,m_W4_unc,Lum_W1,Lum_W1_unc,Lum_W2,Lum_W2_unc,Lum_W3,Lum_W3_unc,Lum_W4,Lum_W4_unc,SFR_W4,SFR_W4_unc,SFR_hybrid,SFR_hybrid_unc,SFR_flag,Mstar,Mstar_unc
SDSS J142637.91+335542.0,216.6579861,33.9283319,0.0830379,1.27425e-05,SPEC,False,,,,380.01706,0.054886576,Redshift,0.010508591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[KEC2012] J216.64133+32.98929,216.64133291667,32.98929777778,0.143,,PHOT,False,,,,680.78876,,Redshift,0.006870628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISEA J142807.48+334848.1,217.0311855,33.8133686,0.185,,PHOT,False,,,,903.72473,,Redshift,0.008448041,,,,,,,,,,,,,,,,,,,,,14.961,0.087,14.657,0.114,11.532,0.223,9.344,99.0,2.808082835510809e+43,2.2501905922900235e+42,1.5012087944692067e+43,1.576290039805457e+42,1.9583866417059123e+43,4.0224761925707985e+42,2.0300054940390584e+43,,3.9658872636866214,,,,,88863380870.59521,7120856304.715264
WISEA J142506.81+335054.3,216.2782902,33.8482141,0.0726129,2.46066e-06,SPEC,False,,,,329.9192,0.010598957,Redshift,0.01406057,21.6794,0.103412,21.3713,0.0626736,2.2086356040388908e+42,2.1037064716433296e+41,1.9866402486884027e+42,1.1468167252093651e+41,,,,,,,,,,,,,15.772,0.122,15.636,99.0,12.087,0.331,8.665,99.0,1.775001265411809e+42,1.9945670846385473e+41,8.126324428786407e+41,,1.5658850107815476e+42,4.7739519976838395e+41,5.05710282796683e+42,,0.9879726806395215,,0.9671298397334798,,,3573804972.552363,401588094.8409766
WISEA J142824.14+330946.0,217.1006066,33.1628349,0.129009,9.67657e-06,SPEC,False,,,,608.72736,0.0416805,Redshift,0.008204758,21.3529,0.0926022,20.9238,0.0547183,9.727429890065512e+42,8.296779510538416e+41,9.729714382597828e+42,4.903688081446027e+41,,,,,,,,,,,,,14.995,0.079,15.128,0.161,12.204,99.0,8.433,99.0,1.2347094490217328e+43,8.984253584790868e+41,4.413674122228598e+42,6.545100397301482e+41,4.7848221405208597e+42,,2.131414948748782e+43,,4.16400419786816,,4.0946646357205765,,,31661599586.323254,2303828158.187448
FLX J142444.31+341402.4,216.1846965,34.2339687,0.129867,5.86787e-06,SPEC,False,,,,613.1142,0.025275048,Redshift,0.013495417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISEA J142650.98+333837.9,216.7126972,33.6439601,0.0589287,1.09204e-05,SPEC,False,,,,265.1775,0.04703813,Redshift,0.011425019,21.0068,0.0821091,20.6648,0.0517509,2.6000391235178768e+42,1.9663522746960776e+41,2.4071518858580816e+42,1.1473912159041967e+41,,,,,,,,,,,,,14.22,0.025,14.454,0.164,12.184,99.0,9.231,99.0,4.7868243284558045e+42,1.1022436857378243e+41,1.55885851228621e+42,2.354727520504331e+41,9.250432127571971e+41,,1.9396839010144223e+42,,0.3789431950405879,,0.4484270998321079,,,15148178254.606976,348811292.9550077
WISEA J142653.99+342153.9,216.7250352,34.3650422,0.187126,1.1755e-05,SPEC,False,,,,915.2674,0.050633054,Redshift,0.011677353,21.5309,0.105851,20.8179,0.0499662,1.9150089920170718e+43,1.8670501033024583e+42,2.4957031181202297e+43,1.1485752032150517e+42,,,,,,,,,,,,,14.936,0.045,15.23,99.0,11.84,99.0,8.875,99.0,2.9491055668941314e+43,1.2223428269192136e+42,9.087474788188372e+42,,1.5128292619077233e+43,,3.207423165749748e+43,,6.266130175338137,,6.361213217198347,,,90603543180.7097,3755328135.541831
WISEA J142555.20+341957.4,216.4802064,34.3326821,0.0588368,5.86293e-06,SPEC,False,,,,264.74664,0.025253767,Redshift,0.012339866,22.9026,0.258126,22.3694,0.151972,4.5517492558197685e+41,1.0821817299742085e+41,5.029669077259053e+41,7.040331782557039e+40,,,,,,,,,,,,,16.669,0.289,15.774,99.0,12.493,99.0,9.089,99.0,5.001585212473448e+41,1.3313605355937446e+41,4.607283920671515e+41,,6.936951575103725e+41,,2.2035807679998497e+42,,0.4304989778587881,,0.3989980017990815,,,767304843.0244493,204247122.33734196
DESI J216.7929+32.7519,216.7929143,32.7519738,0.197871,3.69555e-06,SPEC,False,,,,973.9767,0.015918076,Redshift,0.007890684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
