objname,ra,dec,z,z_unc,z_tech,z_qual,ziDist,ziDist_unc,ziDist_method,DistMpc,DistMpc_unc,DistMpc_method,ebv,m_FUV,m_FUV_unc,m_NUV,m_NUV_unc,Lum_FUV,Lum_FUV_unc,Lum_NUV,Lum_NUV_unc,m_J,m_J_unc,m_H,m_H_unc,m_Ks,m_Ks_unc,Lum_J,Lum_J_unc,Lum_H,Lum_H_unc,Lum_Ks,Lum_Ks_unc,m_W1,m_W1_unc,m_W2,m_W2_unc,m_W3,m_W3_unc,m_W4,m_W4_unc,Lum_W1,Lum_W1_unc,Lum_W2,Lum_W2_unc,Lum_W3,Lum_W3_unc,Lum_W4,Lum_W4_unc,SFR_W4,SFR_W4_unc,SFR_hybrid,SFR_hybrid_unc,SFR_flag,Mstar,Mstar_unc
WISEA J205514.52+005854.0,313.8105302,0.9816892,0.18459,7e-05,SPEC,False,,,,901.5016,0.30151543,Redshift,0.07464634,,,,,,,,,,,,,,,,,,,,,14.859,0.091,15.268,0.293,11.651,99.0,8.358,99.0,3.1068969806422863e+43,2.6041046570499004e+42,8.581596103838566e+42,2.3159323776224376e+42,1.7520940217968926e+43,,5.017483054537992e+43,,9.802324279508971,,,,,81946642542.29709,6868513336.733934
SDSS J205345.59+010902.5,313.43998,1.15071,0.18910208,6.969595e-05,SPEC,False,,,,926.01794,0.30020574,Redshift,0.07357703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISEA J205452.82+005857.1,313.7200969,0.9825479,0.1730429,1.5153744e-05,SPEC,False,,,,839.26373,0.06527268,Redshift,0.07377989,22.8505,99.0,22.1765,0.135584,7.549927506884992e+42,,1.0039067433825368e+43,1.2536951491608423e+42,,,,,,,,,,,,,15.82,0.204,15.493,99.0,11.411,99.0,8.758,99.0,1.1110209327759771e+43,2.08757721816571e+42,6.044825104171312e+42,,1.8941000955713094e+43,,3.008430109218189e+43,,5.877370622333008,,5.506341356991887,,,22990604683.6136,4319870234.07804
WISEA J205421.39+004652.1,313.5891564,0.7811493,0.18332762,1.5329364e-05,SPEC,False,,,,894.6622,0.06602914,Redshift,0.0749852,22.6078,0.312484,21.4579,0.0771249,1.0824422476965568e+43,3.1154635635270277e+42,2.23351028880656e+43,1.586619410089945e+42,,,,,,,,,,,,,13.765,0.027,13.931,0.086,11.172,0.272,7.753,99.0,8.381830486676245e+43,2.0844562009387626e+42,2.895822255535824e+43,2.2938263666130865e+42,2.6825609707474687e+43,6.720609531664345e+42,8.62729177342467e+43,,16.854568455505348,,15.312032402872786,,,262587767558.32648,6530228704.191664
WISEA J205335.01+010024.3,313.395908,1.0067769,0.20258681,7.56186e-05,SPEC,False,,,,999.938,0.32571676,Redshift,0.073319115,,,,,,,,,,,,,,,,,,,,,15.422,0.204,14.949,99.0,11.915,99.0,8.457,99.0,2.2752804491513555e+43,4.275188173848885e+42,1.4161428938774932e+43,,1.6902156158556692e+43,,5.634872890866705e+43,,11.008477906095413,,,,,49316031850.94247,9266344121.61993
WISEA J205308.85+010938.1,313.2868967,1.1605837,0.17199646,1.1701389e-05,SPEC,False,,,,833.65955,0.05040213,Redshift,0.079892755,22.9999,99.0,21.8376,0.109966,6.791124762063729e+42,,1.423662703398793e+43,1.4419681799084054e+42,15.696,0.123,14.804,0.131,14.09,0.163,1.7992527150663076e+44,2.03839085677166e+43,1.9096393183946787e+44,2.3041606088217194e+43,1.826185314542847e+44,2.7417166284046395e+43,13.168,0.019,13.185,0.073,9.67,0.075,7.99,0.229,1.2623733022379201e+44,2.2091822418513913e+42,5.001531039325172e+43,3.362915405743315e+42,9.292068679882556e+43,6.418947102545605e+42,6.022653686201145e+43,1.270321204934682e+43,11.766059558871733,2.481742390468902,10.65539800946374,,,399485222227.1899,6991083043.833516
WISEA J205301.75+005134.4,313.2573249,0.8595588,0.20221014,2.9045752e-05,SPEC,False,,,,997.86005,0.12511061,Redshift,0.07745375,23.3547,99.0,23.5886,0.340046,6.892421499882733e+42,,3.9847619486357585e+42,1.2480449047884324e+42,,,,,,,,,,,,,15.172,0.115,14.323,0.206,11.593,99.0,8.671,99.0,2.8546710805230786e+43,3.023737456003254e+42,2.5114794720492544e+43,4.765264473756954e+42,2.2647611313005126e+43,,4.608113091049666e+43,,9.002565299002995,,8.227742516783792,,,75307878984.96182,7976794803.878576
WISEA J205430.10+004907.2,313.6254307,0.8186862,0.18391,3e-05,SPEC,False,,,,897.81635,0.12922089,Redshift,0.07429459,,,,,,,,,16.504,0.227,16.253,0.347,15.284,0.356,9.873483832504914e+43,2.06436476041682e+43,5.81587594087418e+43,1.8588091092572825e+43,7.039884773820903e+43,2.308371342959596e+43,14.109,0.045,14.33,0.257,10.876,99.0,8.37,99.0,6.148099642371107e+43,2.54825927054357e+42,2.019251437351413e+43,4.7798435136390634e+42,3.5480663563028905e+43,,4.921800256917306e+43,,9.615395135941599,,,,,194560115264.90845,8064111615.644209
WISEA J205137.77+011035.0,312.9074062,1.1764054,0.17191076,7.054401e-06,SPEC,False,,,,833.20087,0.030385867,Redshift,0.09923653,19.3024,0.0975879,20.2389,0.136182,2.3573340878482244e+44,2.1188843192302602e+43,7.276875416839269e+43,9.127562160124445e+42,,,,,,,,,,,,,14.694,0.074,15.892,99.0,10.467,0.158,8.065,99.0,3.103455113354613e+43,2.1152772504598918e+42,4.139005103561545e+42,,4.4590623033011545e+43,6.48919464604542e+42,5.617231918403205e+43,,10.97401390675281,,20.077572884153255,,,77965320362.2545,5314021387.88563
WISEA J205310.79+011509.0,313.2949866,1.2525077,0.193727,,PHOT,False,,,,951.26117,,Redshift,0.08201741,,,,,,,,,14.644,0.159,14.422,0.152,13.473,0.193,6.183081260828163e+44,9.055078676372047e+43,3.5383729857291595e+44,4.953787400465301e+43,4.2001280701061555e+44,7.466378611795176e+43,12.854,0.014,12.83,0.065,11.797,0.39,11.357,99.0,2.19572796497282e+44,2.831370550354987e+42,9.033219379992666e+43,5.408116438538762e+42,1.706002661240653e+43,6.128221795910522e+42,3.5288485675399825e+42,,0.6894077691208614,,,,,694850621826.8417,8960033387.199326
