objname,ra,dec,z,z_unc,z_tech,z_qual,ziDist,ziDist_unc,ziDist_method,DistMpc,DistMpc_unc,DistMpc_method,ebv,m_FUV,m_FUV_unc,m_NUV,m_NUV_unc,Lum_FUV,Lum_FUV_unc,Lum_NUV,Lum_NUV_unc,m_J,m_J_unc,m_H,m_H_unc,m_Ks,m_Ks_unc,Lum_J,Lum_J_unc,Lum_H,Lum_H_unc,Lum_Ks,Lum_Ks_unc,m_W1,m_W1_unc,m_W2,m_W2_unc,m_W3,m_W3_unc,m_W4,m_W4_unc,Lum_W1,Lum_W1_unc,Lum_W2,Lum_W2_unc,Lum_W3,Lum_W3_unc,Lum_W4,Lum_W4_unc,SFR_W4,SFR_W4_unc,SFR_hybrid,SFR_hybrid_unc,SFR_flag,Mstar,Mstar_unc
WISEA J142650.98+333837.9,216.7126972,33.6439601,0.0589287,1.09204e-05,SPEC,False,,,,265.1775,0.04703813,Redshift,0.011425019,21.0068,0.0821091,20.6648,0.0517509,2.6000391235178768e+42,1.9663522746960776e+41,2.4071518858580816e+42,1.1473912159041967e+41,,,,,,,,,,,,,14.22,0.025,14.454,0.164,12.184,99.0,9.231,99.0,4.7868243284558045e+42,1.1022436857378243e+41,1.55885851228621e+42,2.354727520504331e+41,9.250432127571971e+41,,1.9396839010144223e+42,,0.3789431950405879,,0.4484270998321079,,,15148178254.606976,348811292.9550077
GALEXMSC J142600.00+342956.3,216.4996013,34.4989704,0.194105,5.22755e-06,SPEC,False,,,,953.3294,0.022516957,Redshift,0.012219737,22.0003,0.124608,22.0778,0.109295,1.3537487756978745e+43,1.5537247842484812e+42,8.522609508006698e+42,8.57952091397356e+41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISEA J142646.89+334704.7,216.6953814,33.7846659,0.158594,6.0853e-05,SPEC,False,,,,762.41724,0.26211596,Redshift,0.00986733,22.2123,0.152983,21.784,0.0959822,7.000083599757306e+42,9.86362341269865e+41,7.007056793485385e+42,6.194645909170242e+41,16.328,0.249,15.204,0.226,15.037,99.0,7.978954105411561e+43,1.8299341902037925e+43,1.0695080739615154e+44,2.226294744458274e+43,6.243536758468703e+43,,14.667,0.043,14.465,0.098,13.017,99.0,9.243,99.0,2.620815574528048e+43,1.0379945968678214e+42,1.2753597125100481e+43,1.1511950608058425e+42,3.550101422614932e+42,,1.5857174498603965e+43,,3.0979111419518035,,3.0358545640502412,,,82937201725.57114,3284793028.062726
SDSS J142627.58+335146.3,216.61506416667,33.86289194444,0.051,,PHOT,False,,,,228.20108,,Redshift,0.010286038,22.1041,0.129675,22.1238,0.107394,6.949822874643828e+41,8.300802884939604e+40,4.606498099536209e+41,4.556602413389395e+40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISEA J142650.13+333506.6,216.7088753,33.5851776,0.058866527,1.1344251e-05,SPEC,False,222.9082,52.5926,FP,264.886,0.04886381,Redshift,0.012671106,,,,,,,,,13.538,0.089,13.012,0.135,12.361,0.112,1.2606338520310538e+44,1.0334016123585187e+43,9.733837409887242e+43,1.2103417558258345e+43,8.870590260334732e+43,9.150835021473116e+42,12.414,0.008,12.423,0.021,11.474,0.218,9.242,99.0,2.521108417920308e+43,1.857683304141488e+41,1.0099975630129536e+43,1.9535735615047294e+41,1.7751427898785007e+42,3.564346563924344e+41,1.9159733566341324e+42,,0.37431102304652236,,,,,79781911959.5034,587874463.3359139
WISEA J142634.10+341755.5,216.6421026,34.2987763,0.123,,PHOT,False,,,,578.124,,Redshift,0.013846382,,,,,,,,,,,,,,,,,,,,,15.549,0.111,15.37,0.21,12.49,0.522,9.192,99.0,6.69281583897366e+42,6.842613486380391e+41,3.187932814839915e+42,6.1662144743973605e+41,3.317278739904783e+42,1.594933550162142e+42,9.557104591895082e+42,,1.867108216702608,,,,,18558288938.135075,1897365790.8343182
SDSS J142648.52+334548.6,216.7020963,33.7635017,0.154335,1.27166e-05,SPEC,False,,,,739.98724,0.054775015,Redshift,0.009663903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESI J216.6271+34.0010,216.6271461,34.0010112,0.0493508,7.78056e-05,SPEC,True,,,,220.55965,0.33513698,Redshift,0.011619631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISEA J142645.58+340621.8,216.6898456,34.1061089,0.192414,3.88233e-06,SPEC,False,,,,944.08307,0.016722606,Redshift,0.012685273,22.2435,0.141153,21.7383,0.0778399,1.0648391010541738e+43,1.3844083941717277e+42,1.1470441048960537e+43,8.223801045557787e+41,,,,,,,,,,,,,16.978,0.321,15.973,99.0,12.651,99.0,8.82,99.0,4.7851413182681846e+42,1.4147834214524976e+42,4.8777965014499326e+42,,7.626684846715034e+42,,3.5899795323861376e+43,,7.01350520783955,,6.643197891060022,,,6057140999.458667,1790865117.1321688
SDWFS J142645.27+333109.1,216.68863208333,33.51919194444,0.1324,0.1476,PHOT,False,,,,626.0898,635.7668,Redshift,0.01093875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
